corpus	sent_id	left	node	right	node_sentences	usage
ind_mixed_2012_1M	331763	Rasanya sudah sakit sekali karena batang kejantanannya dipaksa tak bebas oleh balutan pakaian yang	dikenakan	nya.	Rasanya sudah sakit sekali karena batang kejantanannya dipaksa tak bebas oleh balutan pakaian yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	331932	Tampak samar-samar putingnya menonjol seakan ingin merobek daster yang	dikenakan	nya.	Tampak samar-samar putingnya menonjol seakan ingin merobek daster yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	359478	Dari dalam peti ini Raja Obat mengeluarkan sebuah jubah putih yang langsung	dikenakan	nya.	Dari dalam peti ini Raja Obat mengeluarkan sebuah jubah putih yang langsung <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	459665	Apalagi, mahkota Miss Universe tak pernah	dikenakan	nya.	Apalagi, mahkota Miss Universe tak pernah <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	621568	Aku berbalik menatap Eksanti yang ternyata tangan kanannya sedang asyik meremas payudaranya sendiri, sementara tangan kirinya sedang mengelus-elus kewanitaannya di atas rok mini yang masih rapi	dikenakan	nya.	Aku berbalik menatap Eksanti yang ternyata tangan kanannya sedang asyik meremas payudaranya sendiri, sementara tangan kirinya sedang mengelus-elus kewanitaannya di atas rok mini yang masih rapi <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	680239	Atau terang-terangan mengaguminya, secara to the point menyatakan keheranan dengan busana Muslimah yang	dikenakan	nya.	Atau terang-terangan mengaguminya, secara to the point menyatakan keheranan dengan busana Muslimah yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	805057	Tulisan pertama sebagai mahasiswa Jurnalistik Sosok Hena Arlini tampak bersahaja dengan jilbab hitam panjang yang	dikenakan	nya.	Tulisan pertama sebagai mahasiswa Jurnalistik Sosok Hena Arlini tampak bersahaja dengan jilbab hitam panjang yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	852733	Saat berpaling pandang ke arah Hari, yang tidur miring, tak sengaja dikeremangan cahaya malam, ekor mataku menangkap sesuatu menyembul dari balik celana gombrang batik yang	dikenakan	nya.	Saat berpaling pandang ke arah Hari, yang tidur miring, tak sengaja dikeremangan cahaya malam, ekor mataku menangkap sesuatu menyembul dari balik celana gombrang batik yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	864753	Ada juga yang menawarkan diri menjadi stylist, sampai ada yang mengirimkan baju,” sembari memamerkan tenun Sukabumi warna ungu yang	dikenakan	nya.	Ada juga yang menawarkan diri menjadi stylist, sampai ada yang mengirimkan baju,” sembari memamerkan tenun Sukabumi warna ungu yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	876326	Mereka memandang heran ke arah busana yang	dikenakan	nya.	Mereka memandang heran ke arah busana yang <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	920435	” “Masuk” jawab Eunhyuk sambil merapikan baju yang baru	dikenakan	nya.	” “Masuk” jawab Eunhyuk sambil merapikan baju yang baru <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	935604	Tubuh mbak Sonya yang padat dengan payudara yang membusung indah, ditambah dengan sepatu hak tinggi yang masih	dikenakan	nya.	Tubuh mbak Sonya yang padat dengan payudara yang membusung indah, ditambah dengan sepatu hak tinggi yang masih <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	989264	Ia masih mengenakan jubah Dominikan-nya yang putih, jubah tua yang selama ini	dikenakan	nya.	Ia masih mengenakan jubah Dominikan-nya yang putih, jubah tua yang selama ini <m>dikenakan</m>nya.	wear
ind_mixed_2012_1M	782274	Kimono yang	dikenakan	Okakura, yang menyertai lidah yang fasih berbahasa asing, mencoba menghilangkan sisi dirinya yang tak murni Jepang.	Kimono yang <m>dikenakan</m> Okakura, yang menyertai lidah yang fasih berbahasa asing, mencoba menghilangkan sisi dirinya yang tak murni Jepang.	wear
